Game, Section, Valence, Engagement

1,0,-0.185936,0.08412123/n
1,10,-0.1061325,0.08493933/n
1,10,-0.1061325,0.08493933/n
1,10,-0.1497726,0.09129725/n
1,10,-0.1497726,0.09129725/n
1,10,-0.2595139,0.09899367/n
1,10,-0.436142,0.1042484/n
1,10,-0.4287872,0.1058351/n
1,10,-0.7755432,0.1083974/n
1,10,-1.175072,0.1179544/n
1,10,-0.9778595,0.1075485/n
1,10,-1.041252,0.09262979/n
1,10,-1.239983,0.09070824/n
1,10,-0.8477554,0.08739807/n
1,10,-0.6492615,0.08604197/n
1,10,-0.4455185,0.08322476/n
1,10,-0.3778229,0.08245897/n
1,10,-0.2066803,0.08356272/n
1,10,-0.07839966,0.09182509/n
1,10,-0.0539856,0.1135366/n
1,10,-0.056633,0.2172685/n
1,10,-0.08946991,0.1590538/n
1,10,-0.1995087,0.2660295/n
1,10,-0.1816483,0.1448422/n
1,10,-0.3358688,0.104655/n
1,10,-0.5080185,0.09219369/n
1,10,-1.447609,0.1079788/n
1,10,-1.602913,0.1063991/n
1,10,-1.834091,0.1117053/n
1,10,-1.410355,0.1020762/n
1,10,-2.346184,0.129013/n
1,10,-2.378952,0.1326289/n
1,10,-4.146111,0.2051249/n
1,10,-3.43116,0.1744807/n
1,10,-4.445946,0.2257032/n
1,10,-4.340363,0.2211675/n
1,10,-2.815895,0.1542669/n
1,10,-1.635986,0.1171185/n
1,10,-1.127502,0.1039812/n
1,10,-0.5935516,0.09137793/n
1,10,-0.4697952,0.08868483/n
1,10,-0.3408432,0.08590156/n
1,10,-0.08152008,0.08169289/n
1,10,-0.07388306,0.08121917/n
1,10,-0.1426239,0.08180673/n
1,10,-0.192894,0.08243643/n
1,10,-0.2388153,0.0831554/n
1,10,-0.2939453,0.08412603/n
1,10,-0.4863358,0.08791571/n
1,11,-0.6299515,0.09101207/n
1,11,-1.124535,0.1024912/n
1,11,-0.8977966,0.09726542/n
1,11,-0.8766632,0.09672085/n
1,11,-0.8249817,0.09556618/n
1,11,-0.7473373,0.09364742/n
1,11,-0.3869705,0.08597223/n
1,11,-0.1965027,0.08202443/n
1,11,-0.2868042,0.08399/n
1,11,-0.3257446,0.08494981/n
1,11,-0.660965,0.09202137/n
1,11,-0.4649963,0.08788852/n
1,11,-0.3471298,0.08546322/n
1,12,-0.3772888,0.0860348/n
1,12,-0.4830246,0.08824953/n
1,12,-0.7740402,0.09456087/n
1,12,-0.5843201,0.09039432/n
1,12,-0.6073532,0.09090526/n
1,12,-0.7778778,0.09462896/n
1,12,-0.7778778,0.09462896/n
1,12,-1.043411,0.1008311/n
1,13,-0.7448425,0.09393458/n
1,13,-0.41465,0.08680125/n
1,13,-0.4306641,0.0871115/n
1,13,-0.5456238,0.08959489/n
1,13,-1.022263,0.1003851/n
1,13,-1.134796,0.1030575/n
1,13,-0.8845215,0.09711647/n
1,14,-0.763382,0.09426864/n
1,14,-0.4002762,0.08650326/n
1,14,-0.3822479,0.0861448/n
1,14,-0.3177338,0.08476736/n
1,14,-0.320549,0.0848527/n
1,14,-0.3582687,0.08565175/n
1,14,-0.2882004,0.08424709/n
1,14,-0.3122101,0.08476292/n
1,15,-0.2426682,0.08333145/n
1,15,-0.2078781,0.08265095/n
1,15,-0.08479309,0.08031253/n
1,15,-0.08479309,0.08031253/n
1,15,-0.1460953,0.08147854/n
1,15,-0.2119598,0.08283783/n
1,15,-0.4030762,0.08656225/n
1,15,-0.2851181,0.08410877/n
1,15,-0.2907944,0.08413558/n
1,15,-0.3652954,0.08551107/n
1,15,-0.2603607,0.083472/n
1,15,-0.132103,0.08099832/n
1,15,-0.1520615,0.0813999/n
1,16,-0.364296,0.08560438/n
1,16,-0.364296,0.08560438/n
1,16,-0.2253876,0.08290751/n
1,16,-0.1841431,0.08223828/n
1,16,-0.3478928,0.08551177/n
1,16,-0.2591629,0.0835405/n
1,16,-0.1689072,0.08183589/n
1,17,-0.1231995,0.08098046/n
1,17,-0.1181183,0.08090802/n
1,17,-0.2862091,0.08424168/n
1,17,-0.3031464,0.08450227/n
1,17,-0.5030594,0.08858458/n
1,17,-0.3495865,0.08538939/n
1,17,-0.2339249,0.08301561/n
1,17,-0.2395096,0.0831378/n
1,17,-0.3248367,0.08474478/n
1,17,-0.3972244,0.08614607/n
1,17,-0.344902,0.08520984/n
1,17,-0.2479401,0.08333724/n
1,17,-0.2332611,0.08305197/n
1,17,-0.1705246,0.0818249/n
1,17,-0.09108734,0.08055089/n
1,18,-0.09108734,0.08055089/n
1,18,-0.1167908,0.08104074/n
1,18,-0.06765747,0.08007994/n
1,18,-0.06433868,0.08002841/n
1,18,-0.05386353,0.07973798/n
1,18,-0.08150482,0.08026139/n
1,18,-0.1091309,0.0806056/n
1,18,-0.1091309,0.0806056/n
1,18,-0.1002426,0.08037129/n
1,18,-0.07617188,0.08011971/n
1,18,-0.07482147,0.08032256/n
1,18,-0.110817,0.08049902/n
1,18,-0.1448059,0.08107565/n
1,19,-0.1448059,0.08107565/n
1,19,-0.1015167,0.08039442/n
1,19,-0.06808472,0.08022614/n
1,19,-0.07470703,0.08117577/n
1,19,-0.0741272,0.08583504/n
1,19,-0.05309296,0.09842068/n
1,20,-0.0539093,0.0971578/n
1,20,-0.1111908,0.09529778/n
1,20,-0.8159637,0.09586014/n
1,20,-0.8159637,0.09586014/n
1,20,-0.6106415,0.09497174/n
1,20,-0.4787521,0.09386918/n
1,20,-0.4787521,0.09386918/n
1,20,-0.4612732,0.09195046/n
1,20,-0.4308853,0.08803714/n
1,20,-0.06716156,0.08618647/n
1,20,-0.06197357,0.08922707/n
1,20,-0.1753616,0.1104199/n
1,20,-0.2000885,0.09768314/n
1,21,-0.3565598,0.1001534/n
1,21,-0.9773178,0.1068132/n
1,21,-1.266472,0.1222066/n
1,21,-0.8662491,0.1369445/n
1,21,-0.7633209,0.1182848/n
1,21,-0.6222458,0.1192242/n
1,21,-0.6686401,0.1109951/n
1,21,-0.9081116,0.1120781/n
1,21,-1.148102,0.1025388/n
1,21,-1.148102,0.1025388/n
1,21,-1.109818,0.100266/n
1,21,-0.6773071,0.09040892/n
1,21,-1.217712,0.1023889/n
1,21,-1.247742,0.1032193/n
1,22,-1.026344,0.09790028/n
1,22,-0.5251236,0.08705412/n
1,22,-0.424324,0.08441383/n
1,22,-0.2292938,0.08134/n
1,22,-0.2044983,0.08327767/n
1,22,-0.2120667,0.1061198/n
1,22,-0.3061981,0.180301/n
1,23,-0.4983368,0.7202369/n
1,23,-0.5398254,3.807853/n
1,23,-0.8710251,7.27625/n
1,23,-1.119804,17.01691/n
1,23,-1.582054,24.82228/n
1,23,-2.102684,28.7578/n
1,23,-2.247284,34.62729/n
1,23,-1.886383,35.74192/n
1,23,-2.213158,42.91904/n
1,23,-2.327522,44.19125/n
1,23,-2.04882,43.16331/n
1,23,-2.681267,35.70466/n
1,23,-2.900658,11.08796/n
1,23,-2.920486,12.05511/n
1,24,-3.266571,2.446373/n
1,24,-2.778885,5.258699/n
1,24,-2.2826,18.88689/n
1,24,-2.806473,33.71414/n
1,24,-3.399101,46.62792/n
1,24,-3.399101,46.62792/n
1,25,-3.646385,47.44163/n
1,25,-4.061707,43.88276/n
1,25,-5.041061,42.67221/n
1,25,-5.309929,44.52159/n
1,25,-4.757843,47.13794/n
1,25,-4.412956,48.54039/n
1,25,-3.166023,49.34953/n
1,25,-3.011513,49.97117/n
1,25,-2.088799,50.40844/n
1,25,-1.496765,50.35522/n
1,25,-1.691521,50.41647/n
1,25,-1.100739,50.81871/n
1,25,-1.062347,50.53765/n
1,25,-1.129532,50.59632/n
1,26,-1.040314,50.37582/n
1,26,-0.9364929,50.42764/n
1,26,-1.102196,50.30955/n
1,26,-1.608963,50.22603/n
1,26,-1.608963,50.22603/n
1,26,-1.288025,49.83307/n
1,27,-1.418747,46.817/n
1,27,-1.767746,44.034/n
1,27,-2.675629,41.23288/n
1,27,-2.549866,46.04395/n
1,27,-2.598785,43.62809/n
1,27,-1.974129,44.46615/n
1,28,-2.07869,46.22506/n
1,28,-1.14151,49.81971/n
1,28,-1.14151,49.81971/n
1,28,-0.9306183,49.90209/n
1,28,-1.038498,49.93762/n
1,28,-1.171768,50.39759/n
1,28,-0.9311295,50.38567/n
1,28,-0.9311295,50.38567/n
1,28,-0.8157425,50.39481/n
1,28,-0.9701157,50.28402/n
1,28,-0.6092377,50.40887/n
1,28,-0.5709381,50.6761/n
1,29,-0.4461746,52.19538/n
1,29,-0.2818375,55.24854/n
1,29,-0.3641663,58.01098/n
1,29,-0.3194809,65.48568/n
1,29,-0.2384796,73.67886/n
1,29,-0.2209702,79.42776/n
1,29,-0.2572556,85.79697/n
1,30,-0.3014755,87.92527/n
1,30,-0.4034271,96.02218/n
1,30,-0.4011993,97.0691/n
1,30,-0.5457458,99.13046/n
1,30,-0.6728058,99.67326/n
1,30,-0.8348083,99.82704/n
1,30,-0.7802277,99.87183/n
1,30,-1.060173,99.90385/n
1,30,0,0/n
1,30,-4.205994,99.90545/n
1,30,-6.584747,99.87621/n
1,30,-9.598289,99.56415/n
1,30,-9.858246,97.85876/n
1,30,-12.72401,81.91908/n
