Game, Section, Valence, Engagement

1,0,0,0

1,10,0,0

1,10,0,0

1,10,0,0

1,10,0,0

1,10,0,0

1,10,-0.2098465,0.08331989

1,10,-0.1812439,0.1060447

1,10,-0.1373901,0.1551377

1,10,-0.1373901,0.1551377

1,10,-0.126091,0.2274049

1,10,-0.1314621,0.3316521

1,10,-0.1385574,0.4119855

1,10,-0.186348,0.3104039

1,10,-0.3375549,0.2866826

1,10,-0.3790207,0.266983

1,10,-0.4868546,0.193184

1,10,-0.506134,0.13946

1,10,-0.3601761,0.1214059

1,10,-1.051361,0.09667806

1,10,-1.051361,0.09667806

1,10,-1.257317,0.0971138

1,10,-1.257317,0.0971138

1,10,-1.46347,0.09077585

1,10,-0.7718658,0.08430351

1,10,-0.2361908,0.08315119

1,10,-0.04773712,0.08286861

1,10,-0.1302567,0.08098674

1,10,0.1500475,0.08092526

1,10,0.5390127,0.08018246

1,10,0.7851169,0.07994953

1,10,0.07360208,0.08014767

1,10,-0.04367828,0.08003601

1,10,-0.1301727,0.08007014

1,10,-0.1161652,0.08024915

1,10,0.08432966,0.08100874

1,10,-0.1302338,0.0844302

1,10,-0.3292694,0.08837222

1,10,-1.145409,0.1055614

1,10,-1.340843,0.1113241

1,10,-3.686707,0.1965653

1,10,-3.001671,0.1698254

1,10,-3.631439,0.1968429

1,10,-2.881882,0.1574235

1,10,-2.116898,0.1343494

1,10,-2.34304,0.1379422

1,10,-3.29258,0.1722262

1,10,-5.214981,0.2697369

1,10,-5.202072,0.2656037

1,10,-1.82753,0.1186234

1,10,-0.187088,0.08079138

1,10,-0.1748123,0.08065528

1,10,-0.1173019,0.08031984

1,10,-0.1129074,0.08030312

1,10,-0.1437759,0.08010143

1,10,-0.1437759,0.08010143

1,10,-0.2185745,0.08028846

1,10,-0.2034302,0.08000611

1,11,-0.3086166,0.0799549

1,11,-0.4567413,0.07994572

1,11,-0.3660965,0.07996747

1,11,-0.354187,0.08009367

1,11,-0.3386002,0.08008444

1,11,-0.3635559,0.08016142

1,11,-0.2782745,0.08008262

1,11,-0.2639618,0.08006682

1,11,-0.2796707,0.08004554

1,12,-0.2869034,0.08001503

1,12,-0.2830963,0.0800153

1,12,-0.2377701,0.07995997

1,12,-0.1541595,0.07981152

1,12,-0.1353226,0.07981841

1,12,-0.1272583,0.07992793

1,12,-0.1118393,0.0802092

1,12,-0.09339142,0.08012925

1,12,-0.07293701,0.08008907

1,12,-0.07293701,0.08008907

1,12,-0.08345032,0.07994199

1,12,-0.07057953,0.07977073

1,12,-0.07370758,0.07966591

1,12,-0.05764008,0.07952691

1,12,-0.05877686,0.07950243

1,12,-0.0665741,0.07942928

1,13,-0.06934357,0.07938778

1,13,-0.05983734,0.07941721

1,13,-0.05049133,0.07943647

1,13,-0.05049133,0.07943647

1,13,-0.05466461,0.07958736

1,13,-0.05166626,0.07977583

1,13,-0.04348755,0.07994369

1,13,-0.03564453,0.07989538

1,13,-0.03142548,0.07998088

1,13,-0.03371429,0.08081044

1,13,-0.03195953,0.08078703

1,13,-0.03314209,0.08083597

1,13,-0.0328064,0.08044247

1,13,-0.03395844,0.08041006

1,13,-0.03408813,0.08023962

1,13,-0.03755188,0.08038428

1,14,-0.04457092,0.08036251

1,14,-0.04447937,0.08025737

1,14,-0.05887604,0.08031654

1,14,-0.04902649,0.08080536

1,14,-0.04902649,0.08080536

1,14,-0.05038452,0.08058967

1,14,-0.04829407,0.08066523

1,14,-0.04299927,0.08051486

1,14,-0.04241943,0.08023351

1,14,-0.04277039,0.07988404

1,14,-0.04050446,0.07983624

1,14,-0.03934479,0.07984678

1,14,-0.04267883,0.079917

1,14,-0.03798676,0.08002037

1,14,-0.04064178,0.07996416

1,15,-0.04099274,0.08006965

1,15,-0.04349518,0.08029696

1,15,-0.03964996,0.0808758

1,15,-0.0456543,0.08089157

1,15,-0.0550766,0.08065673

1,15,-0.0539093,0.08054329

1,15,-0.06106567,0.08021563

1,15,-0.06227875,0.08032876

1,15,-0.06547546,0.08043772

1,15,-0.06752777,0.08051391

1,15,-0.05942535,0.08053382

1,15,-0.05368042,0.08035245

1,15,-0.043396,0.08039346

1,15,-0.04585266,0.08052016

1,15,-0.04470062,0.0811201

1,15,-0.04238892,0.08064574

1,15,-0.04489899,0.08038833

1,16,-0.04098511,0.08032325

1,16,-0.04416656,0.08010235

1,16,-0.04467773,0.08026372

1,16,-0.04057312,0.08024456

1,16,-0.03846741,0.08014236

1,16,-0.03846741,0.08014236

1,16,-0.03666687,0.08018265

1,17,-0.04001617,0.08012281

1,17,-0.04885101,0.08024609

1,17,-0.05413818,0.08007182

1,17,-0.05413818,0.08007182

1,17,-0.07628632,0.08006591

1,17,-0.06723022,0.08026097

1,17,-0.07211304,0.08032749

1,17,-0.06972504,0.08033607

1,17,-0.06965637,0.08037991

1,17,-0.06336975,0.08039048

1,17,-0.05374146,0.08054885

1,17,-0.05042267,0.08067061

1,17,-0.05307007,0.08070659

1,17,-0.05800629,0.08084133

1,17,-0.0658493,0.08085743

1,18,-0.07807922,0.08105117

1,18,-0.07218933,0.08087353

1,18,-0.05081177,0.0807925

1,18,-0.05081177,0.0807925

1,18,-0.05347443,0.08082165

1,18,-0.05991364,0.08083809

1,18,-0.06338501,0.08083887

1,18,-0.05419922,0.08073474

1,18,-0.05075073,0.08080544

1,18,-0.05073547,0.08080378

1,18,-0.05027008,0.08096228

1,18,-0.06092072,0.08099442

1,18,-0.06092072,0.08099442

1,18,-0.05513,0.08095222

1,18,-0.05348969,0.08120501

1,19,-0.05737305,0.08107241

1,19,-0.05730438,0.08089065

1,19,-0.06078339,0.08084118

1,19,-0.05302429,0.08097876

1,19,-0.05556488,0.08076648

1,19,-0.05556488,0.08076648

1,19,-0.05947876,0.08076533

1,19,-0.05805969,0.08060391

1,19,-0.05612946,0.08062685

1,19,-0.04632568,0.08051225

1,19,-0.06239319,0.0803927

1,19,-0.06239319,0.0803927

1,19,-0.0638504,0.08040212

1,19,-0.06019592,0.08016405

1,19,-0.06252289,0.08045064

1,19,-0.06252289,0.08045064

1,19,-0.06056976,0.08050949

1,19,-0.06117249,0.08035249

1,19,-0.05739594,0.08025653

1,19,-0.05031586,0.08036

1,19,-0.05712891,0.08047743

1,19,-0.06265259,0.08061885

1,19,-0.06780243,0.08065236

1,19,-0.06400299,0.08065163

1,19,-0.06400299,0.08065163

1,19,-0.05587006,0.08072455

1,19,-0.05504608,0.08091968

1,19,-0.04594421,0.08103642

1,19,-0.05059814,0.08105414

1,20,-0.04708099,0.08101611

1,20,-0.04560852,0.08100163

1,20,-0.04560852,0.08100163

1,20,-0.04503632,0.08120938

1,20,-0.05141449,0.08141215

1,20,-0.06374359,0.08166836

1,20,-0.06374359,0.08166836

1,20,-0.05983734,0.08176742

1,21,-0.06132507,0.08159093

1,21,-0.06284332,0.08165642

1,21,-0.07885742,0.08167167

1,21,-0.06387329,0.08143434

1,21,-0.06387329,0.08143434

1,21,-0.05502319,0.08136852

1,21,-0.04732513,0.08145316

1,21,-0.05153656,0.08131152

1,22,-0.04069519,0.08132949

1,22,-0.04118347,0.08114966

1,22,-0.039505,0.08101805

1,22,-0.04125977,0.08129029

1,22,-0.04273224,0.0811049

1,22,-0.04896545,0.08104645

1,22,-0.06369781,0.08093201

1,22,-0.07247925,0.08107878

1,22,-0.08164978,0.08094736

1,23,-0.0668335,0.08095268

1,23,-0.06847382,0.08088887

1,23,-0.06332397,0.08098149

1,23,-0.0687561,0.08115705

1,23,-0.06430817,0.08127283

1,23,-0.04468536,0.08121159

1,23,-0.04956818,0.08091119

1,23,-0.06065369,0.08100153

1,24,-0.0563736,0.08094709

1,24,-0.05473328,0.0808718

1,24,-0.06069946,0.08084599

1,24,-0.07258606,0.0807666

1,24,-0.06498718,0.08076991

1,24,-0.06111145,0.08101449

1,24,-0.05556488,0.081056

1,24,-0.04810333,0.0809955

1,24,-0.04810333,0.0809955

1,24,-0.04922485,0.0809577

1,24,-0.0422821,0.08117294

1,24,-0.04205322,0.08121468

1,24,-0.04508972,0.08134411

1,24,-0.0459671,0.08146453

1,24,-0.03926086,0.08114722

1,24,-0.03926086,0.08114722

1,25,-0.04399109,0.08112311

1,25,-0.04128265,0.08146795

1,25,-0.04514313,0.08130245

1,25,-0.03733063,0.08121062

1,25,-0.03713226,0.08132298

1,25,-0.03755188,0.08121198

1,25,-0.04685211,0.08151788

1,25,-0.05164337,0.08179995

1,26,-0.05088806,0.08147576

1,26,-0.04896545,0.08146705

1,26,-0.04594421,0.0813386

1,26,-0.05012512,0.08127561

1,26,-0.05229187,0.08136503

1,26,-0.05229187,0.08136503

1,26,-0.05236053,0.08148922

1,26,-0.0507431,0.08151757

1,26,-0.06285095,0.08151396

1,26,-0.06425476,0.08157783

1,26,-0.06684875,0.0818573

1,26,-0.06741333,0.08177739

1,26,-0.06932831,0.0819426

1,26,-0.07082367,0.08173181

1,26,-0.07485199,0.08232629

1,27,-0.06790924,0.08215428

1,27,-0.05290985,0.08171433

1,27,-0.05290985,0.08171433

1,27,-0.05173492,0.08177645

1,27,-0.05173492,0.08177645

1,27,-0.05166626,0.08158106

1,27,-0.04820251,0.08097111

1,27,-0.05370331,0.08087816

1,28,-0.05336761,0.08108806

1,28,-0.05887604,0.08112396

1,28,-0.06404114,0.08117635

1,28,-0.0592804,0.08109169

1,28,-0.05415344,0.08108864

1,28,-0.04987335,0.08137757

1,28,-0.05184937,0.08124968

1,28,-0.0488739,0.08117933

1,29,-0.04624176,0.08121631

1,29,-0.043396,0.08137193

1,29,-0.04450989,0.08122928

1,29,-0.06407166,0.08111878

1,29,-0.05950165,0.08121561

1,29,-0.05471039,0.08091169

1,29,-0.04857635,0.08081464

1,30,-0.05593109,0.08069321

1,30,-0.05283356,0.08049235

1,30,-0.0541687,0.08052944

1,30,-0.06001282,0.0807189

1,30,-0.06018829,0.08065135

1,30,-0.05335236,0.08067623

1,30,-0.05270386,0.08096468

1,30,-0.05451202,0.08105499

1,30,-0.046875,0.08111016

1,30,-0.04492188,0.08083277

1,30,-0.03901672,0.08081684

1,30,-0.0412674,0.08068757

1,30,-0.05319977,0.08083382

1,30,-0.05335236,0.08074856

1,30,-0.05335236,0.08074856

1,31,-0.06071472,0.08078469

1,31,-0.0654068,0.08050542

1,31,-0.06523132,0.08043292

1,31,-0.06069946,0.08044297

1,31,-0.05453491,0.08060522

1,31,-0.05291748,0.08048901

1,31,-0.05422211,0.08071675

1,31,-0.04980469,0.0807142

1,31,-0.0473175,0.08067338

1,31,-0.04098511,0.08084328

1,31,-0.03825378,0.0809083

1,31,-0.04701996,0.08089264

1,31,-0.04701996,0.08089264

1,31,-0.0572052,0.0809597

1,31,-0.05260468,0.08112469

1,32,-0.05652618,0.08112516

1,32,-0.05295563,0.08121102

1,32,-0.05496216,0.08131206

1,32,-0.05883026,0.08138562

1,32,-0.05018616,0.08148049

1,32,-0.05880737,0.08143461

1,32,-0.04592133,0.08131054

1,32,-0.04624176,0.08135418

1,33,-0.04362488,0.08185796

1,33,-0.04312134,0.08151267

1,33,-0.05287933,0.08147164

1,33,-0.0451889,0.08134217

1,33,-0.04559326,0.08140319

1,33,-0.04872131,0.08149756

1,33,-0.05493927,0.08134795

1,34,-0.05828857,0.08119843

1,34,-0.07675171,0.08113857

1,34,-0.06217957,0.08120316

1,34,-0.0419693,0.08136658

1,34,-0.04116821,0.08150662

1,34,-0.0373764,0.08173384

1,34,-0.0373764,0.08173384

1,34,-0.03639984,0.08170296

1,35,-0.04143524,0.08145957

1,35,-0.04307556,0.08146744

1,35,-0.04360962,0.08146453

1,35,-0.04819489,0.08125582

1,35,-0.06221771,0.0810507

1,35,-0.06711578,0.08095538

1,35,-0.06175995,0.08091265

1,35,-0.0586853,0.08085944

1,36,-0.05447388,0.08092529

1,36,-0.0513382,0.08080497

1,36,-0.06325531,0.08077857

1,36,-0.06338501,0.08070386

1,36,-0.06003571,0.08064713

1,36,-0.056633,0.08052441

1,36,-0.05204773,0.08046834

1,36,-0.0488205,0.08053129

1,37,-0.05356598,0.0806106

1,37,-0.06018829,0.08067926

1,37,-0.06089783,0.08091346

1,37,-0.05880737,0.08110599

1,37,-0.05080414,0.08123133

1,37,-0.05323029,0.08140335

1,37,-0.05722046,0.0814539

1,37,-0.06155396,0.08157811

1,37,-0.05717468,0.08173294

1,37,-0.06088257,0.08172703

1,37,-0.05570984,0.08154425

1,37,-0.05625153,0.08160248

1,37,-0.05838776,0.08155929

1,37,-0.0633316,0.08141122

1,38,-0.05554962,0.08133093

1,38,-0.07338715,0.08111314

1,38,-0.07455444,0.08111858

1,38,-0.07944489,0.08105851

1,38,-0.0797348,0.08078019

1,38,-0.07241821,0.08063621

1,38,-0.07370758,0.08067533

1,38,-0.07360077,0.08058498

1,38,-0.06650543,0.08064832

1,38,-0.07185364,0.08057722

1,38,-0.05610657,0.08075336

1,38,-0.04683685,0.08081379

1,38,-0.05446625,0.08099616

1,39,-0.04880524,0.08094084

1,39,-0.04953766,0.08079112

1,39,-0.05199432,0.08101831

1,39,-0.05697632,0.0810443

1,39,-0.06250763,0.08118676

1,39,-0.07136536,0.08122247

1,40,-0.06340027,0.08134178

1,40,-0.05678558,0.0812244

1,40,-0.05556488,0.08146115

1,40,-0.05659485,0.08141416

1,40,-0.05180359,0.08108845

1,40,-0.04299164,0.08122935

1,40,-0.0512085,0.08107809

1,40,-0.0512085,0.08107809

1,40,-0.0473175,0.08120393

1,40,-0.03971863,0.0807384

1,40,-0.03482056,0.08072943

1,40,-0.03067017,0.08072913

1,40,-0.03164673,0.0806094

1,41,-0.03448486,0.08065789

1,41,-0.02946472,0.08075693

1,41,-0.03659058,0.08084044

1,41,-0.03977203,0.0807004

1,41,-0.06196594,0.08079039

1,41,-0.0839386,0.08084121

1,41,-0.07295227,0.08076783

1,41,-0.05537415,0.08089685

1,41,-0.05815125,0.08081564

1,41,-0.06518555,0.08095989

1,41,-0.06303406,0.08128382

1,41,-0.06186676,0.08126546

1,41,-0.07288361,0.08190259

1,42,-0.06944275,0.08180891

1,42,-0.06791687,0.08178253

1,42,-0.05471802,0.08188687

1,42,-0.05098724,0.08181386

1,42,-0.05515289,0.08181445

1,42,-0.05968475,0.08142305

1,43,-0.05096436,0.08145766

1,43,-0.04862976,0.08130434

1,43,-0.05217743,0.08144078

1,43,-0.05466461,0.08081633

1,43,-0.04830933,0.08081187

1,43,-0.04188538,0.08073921

1,43,-0.043396,0.08064774

1,43,-0.04837036,0.08046103

1,43,-0.04463196,0.08048318

1,43,-0.04395294,0.08065569

1,43,-0.04971313,0.08060852

1,43,-0.05477905,0.08050086

1,43,-0.05480194,0.08043259

1,44,-0.04727173,0.08034889

1,44,-0.04814148,0.08026869

1,44,-0.05679321,0.08018517

1,44,-0.05155945,0.08008548

1,44,-0.05628204,0.08016034

1,44,-0.04920197,0.08026999

1,45,-0.04537964,0.08037557

1,45,-0.05590057,0.08038059

1,45,-0.05757141,0.08034162

1,45,-0.05595398,0.08027534

1,45,-0.05563354,0.08025371

1,45,-0.06861115,0.08027676

1,46,-0.06547546,0.08047736
